ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025501' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025501, '2042600000203', 2021100000000000926, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025503' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025503, '2042600000204', 2021100000000000926, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025504' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025504, '2042600000205', 2021100000000000926, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025505' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025505, '118', 2021100000000000926, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025506' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025506, '119', 2021100000000000926, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025507' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025507, '2042600000206', 2021100000000000926, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025508' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025508, '2042600000207', 2021100000000000926, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025509' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025509, '2042600000208', 2021100000000000926, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025510' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025510, '2042600000209', 2021100000000000926, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025511' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025511, '2042600000210', 2021100000000000926, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025512' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025512, '20', 2021100000000000925, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025513' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025513, '21', 2021100000000000925, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025514' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025514, '22', 2021100000000000925, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025515' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025515, '2042600000223', 2021100000000000925, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025516' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025516, '2042600000215', 2021100000000000926, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025517' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025517, '2042600000216', 2021100000000000926, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025518' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025518, '2042600000217', 2021100000000000926, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025519' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025519, '2042600000218', 2021100000000000926, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025520' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025520, '2042600000219', 2021100000000000926, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025521' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025521, '2042600000220', 2021100000000000926, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025523' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025523, '2042600000203', 2021100000000000927, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025524' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025524, '2042600000204', 2021100000000000927, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025525' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025525, '2042600000205', 2021100000000000927, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025526' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025526, '4', 2021100000000000928, 91)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025527' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025527, '5', 2021100000000000928, 91)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025528' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025528, '6', 2021100000000000928, 91)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025529' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025529, '2042600000207', 2021100000000000927, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025530' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025530, '8', 2021100000000000928, 95)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025531' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025531, '2042600000209', 2021100000000000927, 90)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025532' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025532, '10', 2021100000000000928, 91)
ERROR - 2021-12-22 16:00:07 --> Query error: Duplicate entry '2021100000000025533' for key 'PRIMARY' - Invalid query: INSERT INTO `e_inputnilai` (`inputnilai_id`, `siswa_id`, `komponennilai_id`, `inputnilai_nilai`) VALUES (2021100000000025533, '11', 2021100000000000928, 95)
